drug_id,drug_name,condition,reason,source
drug_000001,7t Gummy Es Chewable Tablets,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000002,A G Profen,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000003,A Phedrin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000004,Abacavir,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000005,Abacavir Dolutegravir Lamivudine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000006,Abacavir Lamivudine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000007,Abacavir Lamivudine Zidovudine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000010,Abatuss Dmx,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000011,Abenol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000012,Abilify,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000013,Abilify Maintena,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000014,Abilify Mycite,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000017,Absorica,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000017,Absorica,pregnancy,Pregnancy category X,drugs_com
drug_000018,Absorica Ld,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000018,Absorica Ld,pregnancy,Pregnancy category X,drugs_com
drug_000020,Acarbose,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000024,Accupril,pregnancy,Pregnancy category D,drugs_com
drug_000025,Accuretic,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000025,Accuretic,pregnancy,Pregnancy category D,drugs_com
drug_000026,Accutane,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000026,Accutane,pregnancy,Pregnancy category X,drugs_com
drug_000027,Acebutolol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000028,Acephen,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000029,Acetaminophen Aspirin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000030,Acetaminophen Aspirin Caffeine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000031,Acetaminophen Aspirin Caffeine Salicylamide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000032,Acetaminophen Benzhydrocodone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000033,Acetaminophen Caffeine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000034,Acetaminophen Caffeine Dihydrocodeine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000035,Acetaminophen Chlorpheniramine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000036,Acetaminophen Chlorpheniramine Dextromethorphan,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000037,Acetaminophen Chlorpheniramine Dextromethorphan Guaifenesin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000038,Acetaminophen Chlorpheniramine Dextromethorphan Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000039,Acetaminophen Chlorpheniramine Dextromethorphan Pseudoephedrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000040,Acetaminophen Chlorpheniramine Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000041,Acetaminophen Codeine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000042,Acetaminophen Dexbrompheniramine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000043,Acetaminophen Dextromethorphan,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000044,Acetaminophen Dextromethorphan Diphenhydramine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000045,Acetaminophen Dextromethorphan Doxylamine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000046,Acetaminophen Dextromethorphan Doxylamine Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000047,Acetaminophen Dextromethorphan Doxylamine Pseudoephedrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000048,Acetaminophen Dextromethorphan Guaifenesin Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000049,Acetaminophen Dextromethorphan Guaifenesin Pseudoephedrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000050,Acetaminophen Dextromethorphan Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000051,Acetaminophen Dextromethorphan Pseudoephedrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000052,Acetaminophen Dextromethorphan Triprolidine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000053,Acetaminophen Diphenhydramine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000054,Acetaminophen Diphenhydramine Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000055,Acetaminophen Hydrocodone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000056,Acetaminophen Ibuprofen,concurrent alcohol use,Alcohol interaction flag,drugs_com
