disease_id,drug_id,recommendation_type,source
dis_00092,drug_000062,general,drugs_com.condition
dis_00092,drug_000073,otc,drugs_com.condition
dis_00092,drug_000075,otc,drugs_com.condition
dis_00092,drug_000076,general,drugs_com.condition
dis_00092,drug_000077,general,drugs_com.condition
dis_00092,drug_000078,otc,drugs_com.condition
dis_00092,drug_000079,general,drugs_com.condition
dis_00092,drug_000080,general,drugs_com.condition
dis_00092,drug_000100,general,drugs_com.condition
dis_00092,drug_000134,general,drugs_com.condition
dis_00092,drug_000158,general,drugs_com.condition
dis_00092,drug_000208,general,drugs_com.condition
dis_00092,drug_000458,general,drugs_com.condition
dis_00092,drug_000460,general,drugs_com.condition
dis_00092,drug_000461,general,drugs_com.condition
dis_00092,drug_000475,general,drugs_com.condition
dis_00092,drug_000499,general,drugs_com.condition
dis_00092,drug_000523,general,drugs_com.condition
dis_00092,drug_000524,otc,drugs_com.condition
dis_00092,drug_000525,otc,drugs_com.condition
dis_00092,drug_000677,general,drugs_com.condition
dis_00092,drug_000821,general,drugs_com.condition
dis_00092,drug_000938,general,drugs_com.condition
dis_00092,drug_000981,general,drugs_com.condition
dis_00092,drug_001006,general,drugs_com.condition
dis_00092,drug_001084,general,drugs_com.condition
dis_00092,drug_001097,general,drugs_com.condition
dis_00092,drug_001248,general,drugs_com.condition
dis_00092,drug_001352,general,drugs_com.condition
dis_00092,drug_001353,otc,drugs_com.condition
dis_00092,drug_001354,otc,drugs_com.condition
dis_00092,drug_001355,otc,drugs_com.condition
dis_00092,drug_001474,general,drugs_com.condition
dis_00092,drug_001693,general,drugs_com.condition
dis_00092,drug_001694,general,drugs_com.condition
dis_00092,drug_001750,general,drugs_com.condition
dis_00092,drug_001792,otc,drugs_com.condition
dis_00092,drug_001834,general,drugs_com.condition
dis_00092,drug_001929,otc,drugs_com.condition
dis_00092,drug_001930,otc,drugs_com.condition
dis_00092,drug_002049,otc,drugs_com.condition
dis_00092,drug_002050,otc,drugs_com.condition
dis_00092,drug_002062,general,drugs_com.condition
dis_00092,drug_002068,otc,drugs_com.condition
dis_00092,drug_002069,otc,drugs_com.condition
dis_00092,drug_002070,otc,drugs_com.condition
dis_00092,drug_002109,otc,drugs_com.condition
dis_00092,drug_002111,general,drugs_com.condition
dis_00092,drug_002135,general,drugs_com.condition
dis_00092,drug_002205,general,drugs_com.condition
dis_00092,drug_002234,general,drugs_com.condition
dis_00092,drug_002272,general,drugs_com.condition
dis_00092,drug_002274,general,drugs_com.condition
dis_00092,drug_002275,otc,drugs_com.condition
dis_00092,drug_002288,otc,drugs_com.condition
dis_00092,drug_002339,general,drugs_com.condition
dis_00092,drug_002340,general,drugs_com.condition
dis_00092,drug_002342,general,drugs_com.condition
dis_00092,drug_002343,general,drugs_com.condition
dis_00092,drug_002344,otc,drugs_com.condition
dis_00092,drug_002348,general,drugs_com.condition
dis_00092,drug_002366,otc,drugs_com.condition
dis_00092,drug_002370,general,drugs_com.condition
dis_00092,drug_002375,otc,drugs_com.condition
dis_00092,drug_002450,general,drugs_com.condition
dis_00092,drug_002452,general,drugs_com.condition
dis_00092,drug_002453,general,drugs_com.condition
dis_00092,drug_002470,general,drugs_com.condition
dis_00092,drug_002471,general,drugs_com.condition
dis_00092,drug_002473,general,drugs_com.condition
dis_00092,drug_002572,general,drugs_com.condition
dis_00204,drug_000144,general,drugs_com.condition
dis_00204,drug_000145,otc,drugs_com.condition
dis_00204,drug_000166,general,drugs_com.condition
dis_00204,drug_000167,general,drugs_com.condition
dis_00204,drug_000168,general,drugs_com.condition
dis_00204,drug_000173,general,drugs_com.condition
dis_00204,drug_000174,otc,drugs_com.condition
dis_00204,drug_000175,general,drugs_com.condition
dis_00204,drug_000176,general,drugs_com.condition
dis_00204,drug_000177,general,drugs_com.condition
dis_00204,drug_000179,general,drugs_com.condition
dis_00204,drug_000180,general,drugs_com.condition
dis_00204,drug_000181,general,drugs_com.condition
dis_00204,drug_000182,general,drugs_com.condition
dis_00204,drug_000185,otc,drugs_com.condition
dis_00204,drug_000188,general,drugs_com.condition
dis_00204,drug_000189,general,drugs_com.condition
dis_00204,drug_000190,general,drugs_com.condition
dis_00204,drug_000345,general,drugs_com.condition
dis_00204,drug_000347,otc,drugs_com.condition
dis_00204,drug_000399,general,drugs_com.condition
dis_00204,drug_000537,general,drugs_com.condition
dis_00204,drug_000538,general,drugs_com.condition
dis_00204,drug_000544,general,drugs_com.condition
dis_00204,drug_000545,general,drugs_com.condition
dis_00204,drug_000547,general,drugs_com.condition
dis_00204,drug_000550,general,drugs_com.condition
dis_00204,drug_000680,general,drugs_com.condition
dis_00204,drug_000681,general,drugs_com.condition
dis_00204,drug_000684,general,drugs_com.condition
dis_00204,drug_000714,general,drugs_com.condition
dis_00204,drug_000752,general,drugs_com.condition
dis_00204,drug_000753,otc,drugs_com.condition
dis_00204,drug_000754,otc,drugs_com.condition
dis_00204,drug_000755,otc,drugs_com.condition
dis_00204,drug_000756,general,drugs_com.condition
dis_00204,drug_000760,otc,drugs_com.condition
dis_00204,drug_000765,general,drugs_com.condition
dis_00204,drug_000876,general,drugs_com.condition
dis_00204,drug_000908,general,drugs_com.condition
dis_00204,drug_000909,general,drugs_com.condition
dis_00204,drug_000969,general,drugs_com.condition
dis_00204,drug_000992,general,drugs_com.condition
dis_00204,drug_001020,general,drugs_com.condition
dis_00204,drug_001021,general,drugs_com.condition
dis_00204,drug_001291,general,drugs_com.condition
dis_00204,drug_001292,general,drugs_com.condition
dis_00204,drug_001315,otc,drugs_com.condition
dis_00204,drug_001316,otc,drugs_com.condition
dis_00204,drug_001333,general,drugs_com.condition
dis_00204,drug_001656,otc,drugs_com.condition
dis_00204,drug_001708,general,drugs_com.condition
dis_00204,drug_001710,general,drugs_com.condition
dis_00204,drug_001721,otc,drugs_com.condition
dis_00204,drug_001722,otc,drugs_com.condition
dis_00204,drug_001723,otc,drugs_com.condition
dis_00204,drug_001855,general,drugs_com.condition
dis_00204,drug_001875,general,drugs_com.condition
dis_00204,drug_001914,otc,drugs_com.condition
dis_00204,drug_001915,general,drugs_com.condition
dis_00204,drug_001916,otc,drugs_com.condition
dis_00204,drug_001999,general,drugs_com.condition
dis_00204,drug_002286,otc,drugs_com.condition
dis_00204,drug_002326,general,drugs_com.condition
dis_00204,drug_002333,general,drugs_com.condition
dis_00204,drug_002334,general,drugs_com.condition
dis_00204,drug_002462,general,drugs_com.condition
dis_00204,drug_002519,general,drugs_com.condition
dis_00204,drug_002626,general,drugs_com.condition
dis_00204,drug_002806,general,drugs_com.condition
dis_00204,drug_002907,general,drugs_com.condition
dis_00204,drug_002908,general,drugs_com.condition
dis_00204,drug_002909,general,drugs_com.condition
dis_00205,drug_000136,otc,drugs_com.condition
dis_00205,drug_000709,otc,drugs_com.condition
dis_00205,drug_000964,otc,drugs_com.condition
dis_00205,drug_000965,otc,drugs_com.condition
dis_00205,drug_001066,general,drugs_com.condition
dis_00205,drug_001193,general,drugs_com.condition
dis_00205,drug_001195,general,drugs_com.condition
dis_00205,drug_001670,general,drugs_com.condition
dis_00205,drug_001720,general,drugs_com.condition
dis_00232,drug_000204,general,drugs_com.condition
dis_00232,drug_000303,general,drugs_com.condition
dis_00232,drug_000305,general,drugs_com.condition
dis_00232,drug_001115,general,drugs_com.condition
dis_00232,drug_001116,general,drugs_com.condition
dis_00232,drug_001118,general,drugs_com.condition
dis_00232,drug_001119,general,drugs_com.condition
dis_00232,drug_002794,general,drugs_com.condition
dis_00284,drug_000323,general,drugs_com.condition
dis_00284,drug_000328,general,drugs_com.condition
dis_00284,drug_000333,general,drugs_com.condition
dis_00284,drug_000334,general,drugs_com.condition
dis_00284,drug_000335,general,drugs_com.condition
dis_00284,drug_000342,general,drugs_com.condition
dis_00284,drug_000343,general,drugs_com.condition
dis_00284,drug_000427,general,drugs_com.condition
dis_00284,drug_000428,general,drugs_com.condition
dis_00284,drug_000429,general,drugs_com.condition
dis_00284,drug_001122,general,drugs_com.condition
dis_00284,drug_001123,general,drugs_com.condition
dis_00284,drug_001176,general,drugs_com.condition
dis_00284,drug_001380,general,drugs_com.condition
dis_00284,drug_001433,general,drugs_com.condition
dis_00284,drug_001969,general,drugs_com.condition
dis_00284,drug_002751,general,drugs_com.condition
