disease_id,symptom_id,weight,confidence_score,symptom_severity_weight,evidence_count,source_count
dis_00059,sym_00031,2.2827,0.7609,3,105,1
dis_00059,sym_00035,1.413,0.471,3,65,1
dis_00059,sym_00062,2.3697,0.7899,3,109,1
dis_00059,sym_00317,3.1884,0.7971,4,110,1
dis_00059,sym_00370,1.6956,0.5652,3,78,1
dis_00059,sym_00373,3.0436,0.7609,4,105,1
dis_00060,sym_00012,1.6143,0.5381,3,219,1
dis_00060,sym_00167,1.5849,0.5283,3,215,1
dis_00060,sym_00210,1.7028,0.5676,3,231,1
dis_00060,sym_00261,2.145,0.715,3,291,1
dis_00060,sym_00359,1.5552,0.5184,3,211,1
dis_00060,sym_00360,1.5552,0.5184,3,211,1
dis_00060,sym_00370,1.7763,0.5921,3,241,1
dis_00060,sym_00422,1.6068,0.5356,3,218,1
dis_00060,sym_00436,2.2554,0.7518,3,306,1
dis_00060,sym_00455,1.6806,0.5602,3,228,1
dis_00065,sym_00079,1.5723,0.5241,3,152,1
dis_00065,sym_00080,2.0136,0.5034,4,146,1
dis_00065,sym_00147,1.5102,0.5034,3,146,1
dis_00065,sym_00214,2.3277,0.7759,3,225,1
dis_00065,sym_00288,2.655,0.531,5,154,1
dis_00065,sym_00382,1.5207,0.5069,3,147,1
dis_00065,sym_00405,1.593,0.531,3,154,1
dis_00065,sym_00464,4.0345,0.8069,5,234,1
dis_00066,sym_00080,1.6844,0.4211,4,8,1
dis_00066,sym_00091,3.0,1.0,3,19,1
dis_00066,sym_00222,2.3685,0.7895,3,15,1
dis_00066,sym_00373,3.5788,0.8947,4,17,1
dis_00067,sym_00080,1.9708,0.4927,4,168,1
dis_00067,sym_00096,1.4955,0.4985,3,170,1
dis_00067,sym_00147,1.5219,0.5073,3,173,1
dis_00067,sym_00176,2.1819,0.7273,3,248,1
dis_00067,sym_00288,2.434,0.4868,5,166,1
dis_00067,sym_00371,2.3403,0.7801,3,266,1
dis_00067,sym_00405,1.5837,0.5279,3,180,1
dis_00067,sym_00442,2.085,0.695,3,237,1
dis_00073,sym_00014,2.4999,0.8333,3,25,1
dis_00073,sym_00385,2.6001,0.8667,3,26,1
dis_00073,sym_00387,1.8999,0.6333,3,19,1
dis_00073,sym_00473,1.8999,0.6333,3,19,1
dis_00075,sym_00120,2.7501,0.9167,3,33,1
dis_00075,sym_00219,1.4166,0.4722,3,17,1
dis_00075,sym_00395,1.4166,0.4722,3,17,1
dis_00075,sym_00420,2.1666,0.7222,3,26,1
dis_00080,sym_00068,2.5356,0.8452,3,71,1
dis_00080,sym_00080,3.0952,0.7738,4,65,1
dis_00080,sym_00096,1.5714,0.5238,3,44,1
dis_00080,sym_00371,1.5,0.5,3,42,1
dis_00080,sym_00439,2.0358,0.6786,3,57,1
dis_00092,sym_00003,1.6452,0.5484,3,272,1
dis_00092,sym_00014,1.5423,0.5141,3,255,1
dis_00092,sym_00040,1.8,0.9,2,108,1
dis_00092,sym_00209,2.0745,0.6915,3,343,1
dis_00092,sym_00249,2.0082,0.6694,3,332,1
dis_00092,sym_00346,1.8,0.9,2,108,1
dis_00092,sym_00367,1.8,0.9,2,108,1
