text,type
"Disease: {'disease_id': 'dis_00001', 'disease_name': '11 Beta Hydroxylase Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00002', 'disease_name': '15q11 2 Microdeletion', 'description': nan, 'causes': ""What causes a 15q11.2 microdeletion? A 15q11.2 microdeletion may occur randomly for the first time in an affected person (a de novo mutation), or it may be inherited from a parent with the microdeletion. A blood test to look at the parents' chromosomes is needed to find out how the microdeletion occurred. When a 15q11.2 microdeletion occurs as a de novo mutation, it is due to a random error - either during the formation of a parent's egg or sperm cell, or very soon after conception (fertilization of the egg). A parent with the microdeletion has a 50% chance with each pregnancy to pass on the microdeletion. The features of 15q11.2 microdeletion occur because the deleted region of the chromosome contains several genes that are important for normal growth and development. It is not yet clear why there is a large range of features and severity among people with a 15q11.2 microdeletion, or why some people are unaffected."", 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 2}",disease
"Disease: {'disease_id': 'dis_00003', 'disease_name': '15q13 3 Microdeletion', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00004', 'disease_name': '15q13 3 Microdeletion Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00005', 'disease_name': '15q24 Microdeletion', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00006', 'disease_name': '16p11 2 Deletion Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00007', 'disease_name': '16q24 3 Microdeletion Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00008', 'disease_name': '17 Alpha Hydroxylase 17 20 Lyase Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00009', 'disease_name': '17 Alpha Hydroxylase Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00010', 'disease_name': '17 Beta Hydroxysteroid Dehydrogenase 3 Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 2}",disease
